project_id	case_id	case_submitter_id	sample_id	sample_submitter_id	portion_id	portion_submitter_id	creation_datetime	is_ffpe	portion_number	state	weight
HCMI-CMDC	0798bf7a-53f3-4d88-a863-b4fc186bb5b6	HCM-BROD-0417-C71	c49ae30e-34df-4547-b7d9-3e38f6aa366d	HCM-BROD-0417-C71-85A	cb490834-462f-5908-87da-5a584ac6291d	'--	'--	'--	'--	'--	'--
HCMI-CMDC	07a067d0-7dfc-4817-b4c5-9200da20a59f	HCM-SANG-0268-C18	17766175-a251-454b-9263-76af20b77290	HCM-SANG-0268-C18-10A	4d2aeabd-3a5a-42fc-8bcd-301829a32883	HCM-SANG-0268-C18-10A-01	1560470400	False	'--	released	'--
HCMI-CMDC	07a067d0-7dfc-4817-b4c5-9200da20a59f	HCM-SANG-0268-C18	20b5f03e-26b9-4902-9bdd-667168727e6d	HCM-SANG-0268-C18-85A-01R-A80W-32	bd164ab8-d82e-5d84-a898-5ae4a6aed8a1	'--	'--	'--	'--	'--	'--
HCMI-CMDC	07a067d0-7dfc-4817-b4c5-9200da20a59f	HCM-SANG-0268-C18	475ac2f5-327f-4d94-bebf-e03058911b59	HCM-SANG-0268-C18-85A-01D-A80T-32	6ff22af8-50de-58a4-bfbd-32b2e6dffae7	'--	'--	'--	'--	'--	'--
HCMI-CMDC	07a067d0-7dfc-4817-b4c5-9200da20a59f	HCM-SANG-0268-C18	6a530ae1-79fa-4536-bbf5-86b14a80563e	HCM-SANG-0268-C18-01A-01D-A80T-32	e3e4cc0e-3d23-57f0-936f-e789aabda295	'--	'--	'--	'--	'--	'--
HCMI-CMDC	07a067d0-7dfc-4817-b4c5-9200da20a59f	HCM-SANG-0268-C18	9eb44d2a-80c0-43d2-822a-0598a7d8e68c	HCM-SANG-0268-C18-85A	bd1b4265-089a-541f-8f1e-e9063bac45a0	'--	'--	'--	'--	'--	'--
HCMI-CMDC	07a067d0-7dfc-4817-b4c5-9200da20a59f	HCM-SANG-0268-C18	9eb44d2a-80c0-43d2-822a-0598a7d8e68c	HCM-SANG-0268-C18-85A	781bda6f-6890-5eb1-a6a3-e8f3bb4c2de8	'--	'--	'--	'--	'--	'--
HCMI-CMDC	07a067d0-7dfc-4817-b4c5-9200da20a59f	HCM-SANG-0268-C18	a3817d45-dbaa-4295-8d17-712c0c2438e4	HCM-SANG-0268-C18-10A-01D-A80T-32	abf28477-77b3-54ee-9ce7-f07878c08149	'--	'--	'--	'--	'--	'--
HCMI-CMDC	08b22310-e8dd-4638-8c5b-dea48328450e	HCM-BROD-0213-C71	b5c17c08-510a-4672-93d6-7d93b7a90a0c	HCM-BROD-0213-C71-02A	3805fe65-ff18-461c-8979-851863e864cf	HCM-BROD-0213-C71-02A-11	1550534400	False	'--	released	30.0
HCMI-CMDC	08b22310-e8dd-4638-8c5b-dea48328450e	HCM-BROD-0213-C71	c9f45011-80ab-45ce-b0f2-a80842dd9a14	HCM-BROD-0213-C71-10A	c2165aa3-2b4f-416d-8439-ad480e76a00c	HCM-BROD-0213-C71-10A-01	1549584000	False	'--	released	'--
HCMI-CMDC	08b22310-e8dd-4638-8c5b-dea48328450e	HCM-BROD-0213-C71	f1064a84-2317-4d26-a559-3a0affd5e2ef	HCM-BROD-0213-C71-85A	2e62ead3-d83f-5aa5-b0fa-f6f6de6483f5	'--	'--	'--	'--	'--	'--
HCMI-CMDC	08b22310-e8dd-4638-8c5b-dea48328450e	HCM-BROD-0213-C71	f1064a84-2317-4d26-a559-3a0affd5e2ef	HCM-BROD-0213-C71-85A	6dd8998e-3102-5731-8e32-256a7f594686	'--	'--	'--	'--	'--	'--
HCMI-CMDC	0a6a14db-ca5c-4bf9-9125-611d672bc67b	HCM-SANG-0271-D12	2ccc3dc4-042a-477a-8b3f-b8b7ff838762	HCM-SANG-0271-D12-85B	e13214a5-d2f5-59ba-85ba-2862fea3ac9d	'--	'--	'--	'--	'--	'--
