treatmentid	sampleid	Dose	Response
Ivosidenib	150851	7.98	70.6
Ivosidenib	150851	19.95	64.52
Ivosidenib	150851	49.88	78.36
Ivosidenib	151331	0.0021	74.66
Ivosidenib	151331	0.00519	98.53
Ivosidenib	151331	0.00998	65.85
Ivosidenib	151331	0.02992	100.02
Ivosidenib	151331	0.0798	92.37
Ivosidenib	151331	0.1995	95.6
Ivosidenib	151331	0.5087	105.55
Ivosidenib	151331	0.9975	87.79
Ivosidenib	151331	2.993	74.91
Ivosidenib	151331	7.98	101.02
Ivosidenib	151331	19.95	74.66
Ivosidenib	151331	49.88	95.25
Ivosidenib	140700	0.0021	57.79
Ivosidenib	140700	0.00519	67.8
Ivosidenib	140700	0.00998	54.08
Ivosidenib	140700	0.02992	50.42
Ivosidenib	140700	0.0798	84.52
Ivosidenib	140700	0.1995	50.12
Ivosidenib	140700	0.5087	87.12
Ivosidenib	140700	0.9975	65.24
Ivosidenib	140700	2.993	120.97
Ivosidenib	140700	7.98	55.26
Ivosidenib	140700	19.95	68.06
Ivosidenib	140700	49.88	68.38
Ivosidenib	140986	0.0021	98.33
Ivosidenib	140986	0.00519	83.46
Ivosidenib	140986	0.00998	76.85
Ivosidenib	140986	0.02992	87.14
Ivosidenib	140986	0.0798	67.37
Ivosidenib	140986	0.1995	76.85
Ivosidenib	140986	0.5087	75.46
Ivosidenib	140986	0.9975	118.33
Ivosidenib	140986	2.993	81.5
Ivosidenib	140986	7.98	68.84
Ivosidenib	140986	19.95	129.6
Ivosidenib	140986	49.88	94.24
Ivosidenib	140994	0.0021	86.14
Ivosidenib	140994	0.00519	102.75
Ivosidenib	140994	0.00998	97.15
Ivosidenib	140994	0.02992	84.98
Ivosidenib	140994	0.0798	101.43
Ivosidenib	140994	0.1995	133.9
Ivosidenib	140994	0.5087	89.71
Ivosidenib	140994	0.9975	123.13
Ivosidenib	140994	2.993	89.66
Ivosidenib	140994	7.98	60.44
Ivosidenib	140994	19.95	100.79
Ivosidenib	140994	49.88	63
Ivosidenib	141065	0.0021	96.5
Ivosidenib	141065	0.00519	107.57
Ivosidenib	141065	0.00998	81.22
Ivosidenib	141065	0.02992	89.15
Ivosidenib	141065	0.0798	79.97
Ivosidenib	141065	0.1995	80.19
Ivosidenib	141065	0.5087	92.85
Ivosidenib	141065	0.9975	108.27
Ivosidenib	141065	2.993	83.49
Ivosidenib	141065	7.98	92.72
Ivosidenib	141065	19.95	75.62
Ivosidenib	141065	49.88	57.32
Ivosidenib	141110	0.0021	90.73
Ivosidenib	141110	0.00519	109.37
Ivosidenib	141110	0.00998	77.13
Ivosidenib	141110	0.02992	81.69
Ivosidenib	141110	0.0798	59.8
Ivosidenib	141110	0.1995	87.23
Ivosidenib	141110	0.5087	106.85
Ivosidenib	141110	0.9975	49.55
Ivosidenib	141110	2.993	78.64
Ivosidenib	141110	7.98	89.32
Ivosidenib	141110	19.95	66.74
Ivosidenib	141110	49.88	220.81
Ivosidenib	150017	0.0021	104.76
Ivosidenib	150017	0.00519	84.33
Ivosidenib	150017	0.00998	84.99
Ivosidenib	150017	0.02992	86.56
Ivosidenib	150017	0.0798	87.74
Ivosidenib	150017	0.1995	102.08
Ivosidenib	150017	0.5087	97.9
Ivosidenib	150017	0.9975	88.42
Ivosidenib	150017	2.993	81.83
Ivosidenib	150017	7.98	96.52
Ivosidenib	150017	19.95	88.21
Ivosidenib	150017	49.88	111.17
Ivosidenib	141059	0.0021	89.57
Ivosidenib	141059	0.00519	99.24
Ivosidenib	141059	0.00998	82.47
Ivosidenib	141059	0.02992	95.29
Ivosidenib	141059	0.0798	83.54
Ivosidenib	141059	0.1995	84.26
Ivosidenib	141059	0.5087	82.53
Ivosidenib	141059	0.9975	67.05
Ivosidenib	141059	2.993	73.53
Ivosidenib	141059	7.98	90.51
Ivosidenib	141059	19.95	95.68
Ivosidenib	141059	49.88	94.3
Ivosidenib	140630	0.0021	76.09
Ivosidenib	140630	0.00519	79.38
Ivosidenib	140630	0.00998	65.73
Ivosidenib	140630	0.02992	81.82
Ivosidenib	140630	0.0798	73.14
Ivosidenib	140630	0.1995	89.17
Ivosidenib	140630	0.5087	49.49
Ivosidenib	140630	0.9975	79.24
Ivosidenib	140630	2.993	72.95
Ivosidenib	140630	7.98	74.6
Ivosidenib	140630	19.95	71.71
Ivosidenib	140630	49.88	152.69
Ivosidenib	140690	0.0021	86.78
Ivosidenib	140690	0.00519	83.11
Ivosidenib	140690	0.00998	90.04
Ivosidenib	140690	0.02992	88.17
Ivosidenib	140690	0.0798	95.75
Ivosidenib	140690	0.1995	93.03
Ivosidenib	140690	0.5087	83.37
Ivosidenib	140690	0.9975	79.89
Ivosidenib	140690	2.993	86.67
Ivosidenib	140690	7.98	85.64
Ivosidenib	140690	19.95	85.78
Ivosidenib	140690	49.88	83.74
Ivosidenib	140699	0.0021	80.06
Ivosidenib	140699	0.00519	77
Ivosidenib	140699	0.00998	83.6
Ivosidenib	140699	0.02992	87.1
Ivosidenib	140699	0.0798	84.11
Ivosidenib	140699	0.1995	90.1
Ivosidenib	140699	0.499	83.42
Ivosidenib	140699	0.5087	71.97
Ivosidenib	140699	1.5	68.42
Ivosidenib	140699	3.99	76.93
Ivosidenib	140699	9.98	71.35
Ivosidenib	140699	24.9	81.54
Ivosidenib	140743	0.0021	88.12
Ivosidenib	140743	0.00519	87.97
Ivosidenib	140743	0.00998	94.51
Ivosidenib	140743	0.02992	92.34
Ivosidenib	140743	0.0798	91.12
Ivosidenib	140743	0.1995	85.75
Ivosidenib	140743	0.499	81.25
Ivosidenib	140743	0.5087	87.35
Ivosidenib	140743	1.5	87.09
Ivosidenib	140743	3.99	96.03
Ivosidenib	140743	9.98	97.11
Ivosidenib	140743	24.9	68.85
Ivosidenib	140915	0.0021	98.49
Ivosidenib	140915	0.00519	96.46
Ivosidenib	140915	0.00998	93.11
Ivosidenib	140915	0.02992	90.56
Ivosidenib	140915	0.0798	92.32
Ivosidenib	140915	0.1995	84.66
Ivosidenib	140915	0.499	78.73
Ivosidenib	140915	0.5087	108.56
Ivosidenib	140915	1.5	108.59
Ivosidenib	140915	3.99	112.6
Ivosidenib	140915	9.98	131.88
Ivosidenib	140915	24.9	83.35
Ivosidenib	140877	0.0021	70.85
Ivosidenib	140877	0.00519	79.17
Ivosidenib	140877	0.00998	77.82
Ivosidenib	140877	0.02992	78.41
Ivosidenib	140877	0.0798	76.18
Ivosidenib	140877	0.1995	88.65
Ivosidenib	140877	0.499	70.36
Ivosidenib	140877	0.5087	73.23
Ivosidenib	140877	1.5	56.37
Ivosidenib	140877	3.99	67.38
Ivosidenib	140877	9.98	58.22
Ivosidenib	140877	24.9	41.34
Ivosidenib	140932	0.0021	68.9
Ivosidenib	140932	0.00519	79.61
Ivosidenib	140932	0.00998	66.01
Ivosidenib	140932	0.02992	84.78
Ivosidenib	140932	0.0798	61.7
Ivosidenib	140932	0.1995	78.82
Ivosidenib	140932	0.499	78.24
Ivosidenib	140932	0.5087	66.61
Ivosidenib	140932	1.5	48.97
Ivosidenib	140932	3.99	68.96
Ivosidenib	140932	9.98	59.89
Ivosidenib	140932	24.9	66.82
Ivosidenib	140972	0.0021	96.1
Ivosidenib	140972	0.00519	91.99
Ivosidenib	140972	0.00998	88.87
Ivosidenib	140972	0.02992	85.89
Ivosidenib	140972	0.0798	115.72
Ivosidenib	140972	0.1995	102.41
Ivosidenib	140972	0.499	82.86
Ivosidenib	140972	0.5087	94.11
Ivosidenib	140972	1.5	77.82
Ivosidenib	140972	3.99	81.29
Ivosidenib	140972	9.98	85.57
Ivosidenib	140972	24.9	73.14
Ivosidenib	150099	0.0021	99.55
Ivosidenib	150099	0.00519	84.26
Ivosidenib	150099	0.00998	90.64
Ivosidenib	150099	0.02992	87.1
Ivosidenib	150099	0.0798	113.2
Ivosidenib	150099	0.1995	83.28
Ivosidenib	150099	0.499	88.59
Ivosidenib	150099	0.5087	67.22
Ivosidenib	150099	1.5	75.79
Ivosidenib	150099	3.99	80.3
Ivosidenib	150099	9.98	88.76
Ivosidenib	150099	24.9	63.83
Ivosidenib	140699	0.0021	88.38
Ivosidenib	140699	0.00519	55.84
Ivosidenib	140699	0.00998	89.69
Ivosidenib	140699	0.02992	69.98
Ivosidenib	140699	0.0798	73.29
Ivosidenib	140699	0.1995	89.46
Ivosidenib	140699	0.4988	57.22
Ivosidenib	140699	0.5087	73.52
Ivosidenib	140699	1.496	99.7
Ivosidenib	140699	3.99	91.78
Ivosidenib	140699	9.975	66.85
Ivosidenib	140699	24.94	70.19
Ivosidenib	140743	0.0021	114.77
Ivosidenib	140743	0.00519	81.57
Ivosidenib	140743	0.00998	70.2
Ivosidenib	140743	0.02992	114.47
Ivosidenib	140743	0.0798	153.86
Ivosidenib	140743	0.1995	90.1
Ivosidenib	140743	0.4988	88.98
Ivosidenib	140743	0.5087	67.77
Ivosidenib	140743	1.496	134.67
Ivosidenib	140743	3.99	101.88
Ivosidenib	140743	9.975	72.94
Ivosidenib	140743	24.94	107.06
Ivosidenib	140786	0.002095	67.65
Ivosidenib	140786	0.005187	106.39
Ivosidenib	140786	0.009975	96.69
Ivosidenib	140786	0.02992	123.65
Ivosidenib	140786	0.0798	90.2
Ivosidenib	140786	0.1995	93.34
Ivosidenib	140786	0.499	70.53
Ivosidenib	140786	0.5087	72.2
Ivosidenib	140786	1.5	119.5
Ivosidenib	140786	3.99	115.29
Ivosidenib	140786	9.98	77.35
Ivosidenib	140786	24.9	114.35
Ivosidenib	140877	0.0021	64.85
Ivosidenib	140877	0.00519	100.35
Ivosidenib	140877	0.00998	73.11
