"patient_id","common_name","cancer_type","other_names","species","improve_sample_id","id_source","other_id","model_type"
"PT-O04gFy","SNU-503","Colorectal Carcinoma","SNU503","Homo sapiens (Human)",7,"DepMap","ACH-000683","cell line"
"PT-O04gFy","SNU-503","Colorectal Carcinoma","SNU503","Homo sapiens (Human)",7,"Sanger","SIDM00497","cell line"
"PT-O04gFy","SNU-503","Colorectal Carcinoma","SNU503","Homo sapiens (Human)",7,"CCLE","SNU503_LARGE_INTESTINE","cell line"
"PT-O04gFy","SNU-503","Colorectal Carcinoma","SNU503","Homo sapiens (Human)",7,"Cellosaurus","CVCL_5071","cell line"
"PT-O04gFy","SNU-503","Colorectal Carcinoma","NCI-SNU-503","Homo sapiens (Human)",7,"DepMap","ACH-000683","cell line"
"PT-O04gFy","SNU-503","Colorectal Carcinoma","NCI-SNU-503","Homo sapiens (Human)",7,"Sanger","SIDM00497","cell line"
"PT-O04gFy","SNU-503","Colorectal Carcinoma","NCI-SNU-503","Homo sapiens (Human)",7,"CCLE","SNU503_LARGE_INTESTINE","cell line"
"PT-O04gFy","SNU-503","Colorectal Carcinoma","NCI-SNU-503","Homo sapiens (Human)",7,"Cellosaurus","CVCL_5071","cell line"
"PT-CSmVRq","SNU-878","Hepatocellular Carcinoma","SNU-878","Homo sapiens (Human)",8,"DepMap","ACH-000686","cell line"
"PT-CSmVRq","SNU-878","Hepatocellular Carcinoma","SNU-878","Homo sapiens (Human)",8,"Sanger","SIDM01435","cell line"
"PT-CSmVRq","SNU-878","Hepatocellular Carcinoma","SNU-878","Homo sapiens (Human)",8,"CCLE","SNU878_LIVER","cell line"
"PT-CSmVRq","SNU-878","Hepatocellular Carcinoma","SNU-878","Homo sapiens (Human)",8,"Cellosaurus","CVCL_5102","cell line"
"PT-CSmVRq","SNU-878","Hepatocellular Carcinoma","SNU878","Homo sapiens (Human)",8,"DepMap","ACH-000686","cell line"
"PT-CSmVRq","SNU-878","Hepatocellular Carcinoma","SNU878","Homo sapiens (Human)",8,"Sanger","SIDM01435","cell line"
"PT-CSmVRq","SNU-878","Hepatocellular Carcinoma","SNU878","Homo sapiens (Human)",8,"CCLE","SNU878_LIVER","cell line"
"PT-CSmVRq","SNU-878","Hepatocellular Carcinoma","SNU878","Homo sapiens (Human)",8,"Cellosaurus","CVCL_5102","cell line"
"PT-CSmVRq","SNU-878","Hepatocellular Carcinoma","NCI-SNU-878","Homo sapiens (Human)",8,"DepMap","ACH-000686","cell line"
"PT-CSmVRq","SNU-878","Hepatocellular Carcinoma","NCI-SNU-878","Homo sapiens (Human)",8,"Sanger","SIDM01435","cell line"
"PT-CSmVRq","SNU-878","Hepatocellular Carcinoma","NCI-SNU-878","Homo sapiens (Human)",8,"CCLE","SNU878_LIVER","cell line"
"PT-CSmVRq","SNU-878","Hepatocellular Carcinoma","NCI-SNU-878","Homo sapiens (Human)",8,"Cellosaurus","CVCL_5102","cell line"
"PT-Jv3gwf","JMSU-1","Bladder Carcinoma","JMSU-1","Homo sapiens (Human)",9,"DepMap","ACH-000753","cell line"
"PT-Jv3gwf","JMSU-1","Bladder Carcinoma","JMSU-1","Homo sapiens (Human)",9,"Sanger","SIDM01587","cell line"
"PT-Jv3gwf","JMSU-1","Bladder Carcinoma","JMSU-1","Homo sapiens (Human)",9,"CCLE","JMSU1_URINARY_TRACT","cell line"
"PT-Jv3gwf","JMSU-1","Bladder Carcinoma","JMSU-1","Homo sapiens (Human)",9,"Cellosaurus","CVCL_2081","cell line"
"PT-Jv3gwf","JMSU-1","Bladder Carcinoma","JMSU1","Homo sapiens (Human)",9,"DepMap","ACH-000753","cell line"
"PT-Jv3gwf","JMSU-1","Bladder Carcinoma","JMSU1","Homo sapiens (Human)",9,"Sanger","SIDM01587","cell line"
"PT-Jv3gwf","JMSU-1","Bladder Carcinoma","JMSU1","Homo sapiens (Human)",9,"CCLE","JMSU1_URINARY_TRACT","cell line"
"PT-Jv3gwf","JMSU-1","Bladder Carcinoma","JMSU1","Homo sapiens (Human)",9,"Cellosaurus","CVCL_2081","cell line"
"PT-ANEQ4x","HEC-265","Endometrial Carcinoma","HEC-265","Homo sapiens (Human)",10,"DepMap","ACH-000946","cell line"
"PT-ANEQ4x","HEC-265","Endometrial Carcinoma","HEC-265","Homo sapiens (Human)",10,"Sanger","SIDM01612","cell line"
"PT-ANEQ4x","HEC-265","Endometrial Carcinoma","HEC-265","Homo sapiens (Human)",10,"CCLE","HEC265_ENDOMETRIUM","cell line"
"PT-ANEQ4x","HEC-265","Endometrial Carcinoma","HEC-265","Homo sapiens (Human)",10,"Cellosaurus","CVCL_2928","cell line"
"PT-ANEQ4x","HEC-265","Endometrial Carcinoma","HEC265","Homo sapiens (Human)",10,"DepMap","ACH-000946","cell line"
"PT-ANEQ4x","HEC-265","Endometrial Carcinoma","HEC265","Homo sapiens (Human)",10,"Sanger","SIDM01612","cell line"
"PT-ANEQ4x","HEC-265","Endometrial Carcinoma","HEC265","Homo sapiens (Human)",10,"CCLE","HEC265_ENDOMETRIUM","cell line"
"PT-ANEQ4x","HEC-265","Endometrial Carcinoma","HEC265","Homo sapiens (Human)",10,"Cellosaurus","CVCL_2928","cell line"
"PT-663aNr","SNU-61","Colorectal Carcinoma","SNU-61","Homo sapiens (Human)",11,"DepMap","ACH-000532","cell line"
"PT-663aNr","SNU-61","Colorectal Carcinoma","SNU-61","Homo sapiens (Human)",11,"Sanger","SIDM00194","cell line"
"PT-663aNr","SNU-61","Colorectal Carcinoma","SNU-61","Homo sapiens (Human)",11,"CCLE","SNU61_LARGE_INTESTINE","cell line"
"PT-663aNr","SNU-61","Colorectal Carcinoma","SNU-61","Homo sapiens (Human)",11,"COSMIC","1660035","cell line"
"PT-663aNr","SNU-61","Colorectal Carcinoma","SNU-61","Homo sapiens (Human)",11,"Cellosaurus","CVCL_5078","cell line"
"PT-663aNr","SNU-61","Colorectal Carcinoma","SNU61","Homo sapiens (Human)",11,"DepMap","ACH-000532","cell line"
"PT-663aNr","SNU-61","Colorectal Carcinoma","SNU61","Homo sapiens (Human)",11,"Sanger","SIDM00194","cell line"
"PT-663aNr","SNU-61","Colorectal Carcinoma","SNU61","Homo sapiens (Human)",11,"CCLE","SNU61_LARGE_INTESTINE","cell line"
"PT-663aNr","SNU-61","Colorectal Carcinoma","SNU61","Homo sapiens (Human)",11,"COSMIC","1660035","cell line"
"PT-663aNr","SNU-61","Colorectal Carcinoma","SNU61","Homo sapiens (Human)",11,"Cellosaurus","CVCL_5078","cell line"
"PT-663aNr","SNU-61","Colorectal Carcinoma","NCI-SNU-61","Homo sapiens (Human)",11,"DepMap","ACH-000532","cell line"
"PT-663aNr","SNU-61","Colorectal Carcinoma","NCI-SNU-61","Homo sapiens (Human)",11,"Sanger","SIDM00194","cell line"
"PT-663aNr","SNU-61","Colorectal Carcinoma","NCI-SNU-61","Homo sapiens (Human)",11,"CCLE","SNU61_LARGE_INTESTINE","cell line"
"PT-663aNr","SNU-61","Colorectal Carcinoma","NCI-SNU-61","Homo sapiens (Human)",11,"COSMIC","1660035","cell line"
"PT-663aNr","SNU-61","Colorectal Carcinoma","NCI-SNU-61","Homo sapiens (Human)",11,"Cellosaurus","CVCL_5078","cell line"
"PT-ieu86J","BL-70","Burkitt's Lymphoma","BL-70","Homo sapiens (Human)",12,"DepMap","ACH-000402","cell line"
