"patient_id","common_name","cancer_type","other_names","species","improve_sample_id","id_source","other_id","model_type"
NA,NA,"Small Cell Lung Carcinoma","H-1339","Homo sapiens (Human)",14,"CCLE","NCIH1339_LUNG","cell line"
NA,NA,"Small Cell Lung Carcinoma","H-1339","Homo sapiens (Human)",14,"Cellosaurus","CVCL_A472","cell line"
"PT-hR5WVg","SNU-1040","Colorectal Carcinoma","SNU-1040","Homo sapiens (Human)",15,"DepMap","ACH-000999","cell line"
"PT-hR5WVg","SNU-1040","Colorectal Carcinoma","SNU-1040","Homo sapiens (Human)",15,"Sanger","SIDM00217","cell line"
"PT-hR5WVg","SNU-1040","Colorectal Carcinoma","SNU-1040","Homo sapiens (Human)",15,"CCLE","SNU1040_LARGE_INTESTINE","cell line"
"PT-hR5WVg","SNU-1040","Colorectal Carcinoma","SNU-1040","Homo sapiens (Human)",15,"COSMIC","1659823","cell line"
"PT-hR5WVg","SNU-1040","Colorectal Carcinoma","SNU-1040","Homo sapiens (Human)",15,"Cellosaurus","CVCL_5003","cell line"
"PT-hR5WVg","SNU-1040","Colorectal Carcinoma","SNU1040","Homo sapiens (Human)",15,"DepMap","ACH-000999","cell line"
"PT-hR5WVg","SNU-1040","Colorectal Carcinoma","SNU1040","Homo sapiens (Human)",15,"Sanger","SIDM00217","cell line"
"PT-hR5WVg","SNU-1040","Colorectal Carcinoma","SNU1040","Homo sapiens (Human)",15,"CCLE","SNU1040_LARGE_INTESTINE","cell line"
"PT-hR5WVg","SNU-1040","Colorectal Carcinoma","SNU1040","Homo sapiens (Human)",15,"COSMIC","1659823","cell line"
"PT-hR5WVg","SNU-1040","Colorectal Carcinoma","SNU1040","Homo sapiens (Human)",15,"Cellosaurus","CVCL_5003","cell line"
