"common_name","cancer_type","other_names","species","improve_sample_id","id_source","other_id","model_type"
"CACO2","Colon Adenocarcinoma","CaCo-2","Homo sapiens (Human)",3,"Cellosaurus","CVCL_0025","cell line"
"CACO2","Colon Adenocarcinoma","CACO-2","Homo sapiens (Human)",3,"DepMap","ACH-000003","cell line"
"CACO2","Colon Adenocarcinoma","CACO-2","Homo sapiens (Human)",3,"Sanger","SIDM00891","cell line"
"CACO2","Colon Adenocarcinoma","CACO-2","Homo sapiens (Human)",3,"CCLE","CACO2_LARGE_INTESTINE","cell line"
"CACO2","Colon Adenocarcinoma","CACO-2","Homo sapiens (Human)",3,"Cellosaurus","CVCL_0025","cell line"
"CACO2","Colon Adenocarcinoma","Caco 2","Homo sapiens (Human)",3,"DepMap","ACH-000003","cell line"
"CACO2","Colon Adenocarcinoma","Caco 2","Homo sapiens (Human)",3,"Sanger","SIDM00891","cell line"
"CACO2","Colon Adenocarcinoma","Caco 2","Homo sapiens (Human)",3,"CCLE","CACO2_LARGE_INTESTINE","cell line"
"CACO2","Colon Adenocarcinoma","Caco 2","Homo sapiens (Human)",3,"Cellosaurus","CVCL_0025","cell line"
"CACO2","Colon Adenocarcinoma","CACO 2","Homo sapiens (Human)",3,"DepMap","ACH-000003","cell line"
"CACO2","Colon Adenocarcinoma","CACO 2","Homo sapiens (Human)",3,"Sanger","SIDM00891","cell line"
"CACO2","Colon Adenocarcinoma","CACO 2","Homo sapiens (Human)",3,"CCLE","CACO2_LARGE_INTESTINE","cell line"
"CACO2","Colon Adenocarcinoma","CACO 2","Homo sapiens (Human)",3,"Cellosaurus","CVCL_0025","cell line"
"CACO2","Colon Adenocarcinoma","CACO2","Homo sapiens (Human)",3,"DepMap","ACH-000003","cell line"
"CACO2","Colon Adenocarcinoma","CACO2","Homo sapiens (Human)",3,"Sanger","SIDM00891","cell line"
"CACO2","Colon Adenocarcinoma","CACO2","Homo sapiens (Human)",3,"CCLE","CACO2_LARGE_INTESTINE","cell line"
"CACO2","Colon Adenocarcinoma","CACO2","Homo sapiens (Human)",3,"Cellosaurus","CVCL_0025","cell line"
"CACO2","Colon Adenocarcinoma","CaCo2","Homo sapiens (Human)",3,"DepMap","ACH-000003","cell line"
